Replicate,YearProgeny,StageParents,NumberParents
1,25,CET,70
1,26,CET,100
1,27,PYT,4
1,27,CET,96
1,28,CET,100
1,29,PYT,2
1,29,CET,98
1,30,CET,100
1,31,PYT,3
1,31,CET,97
2,25,CET,72
2,26,CET,100
2,27,PYT,3
2,27,CET,97
2,28,PYT,2
2,28,CET,98
2,29,CET,100
2,30,CET,100
2,31,PYT,3
2,31,CET,97
3,25,CET,72
3,26,PYT,1
3,26,CET,98
3,27,PYT,2
3,27,CET,98
3,28,CET,100
3,29,PYT,2
3,29,CET,98
3,30,CET,100
3,31,PYT,1
3,31,CET,99
4,25,CET,62
4,26,PYT,2
4,26,CET,98
4,27,CET,100
4,28,PYT,1
4,28,CET,99
4,29,CET,100
4,30,PYT,1
4,30,CET,99
4,31,PYT,1
4,31,CET,99
5,25,CET,70
5,26,PYT,2
5,26,CET,98
5,27,CET,100
5,28,PYT,3
5,28,CET,96
5,29,PYT,1
5,29,CET,99
5,30,PYT,1
5,30,CET,99
5,31,CET,100
6,25,CET,73
6,26,PYT,3
6,26,CET,97
6,27,CET,100
6,28,PYT,1
6,28,CET,98
6,29,PYT,2
6,29,CET,98
6,30,PYT,1
6,30,CET,99
6,31,CET,100
7,25,PYT,1
7,25,CET,70
7,26,PYT,1
7,26,CET,99
7,27,PYT,1
7,27,CET,99
7,28,PYT,2
7,28,CET,97
7,29,CET,99
7,30,CET,100
7,31,PYT,1
7,31,CET,99
8,25,AYT,1
8,25,CET,76
8,26,PYT,2
8,26,CET,98
8,27,PYT,1
8,27,CET,99
8,28,CET,100
8,29,CET,100
8,30,CET,100
8,31,CET,100
9,25,CET,75
9,26,CET,100
9,27,PYT,1
9,27,CET,99
9,28,PYT,4
9,28,CET,96
9,29,PYT,2
9,29,CET,98
9,30,PYT,2
9,30,CET,98
9,31,PYT,2
9,31,CET,98
10,25,CET,73
10,26,PYT,2
10,26,CET,98
10,27,PYT,1
10,27,CET,99
10,28,PYT,2
10,28,CET,98
10,29,CET,100
10,30,CET,100
10,31,PYT,2
10,31,CET,98
11,25,CET,65
11,26,PYT,2
11,26,CET,98
11,27,CET,100
11,28,PYT,2
11,28,CET,98
11,29,PYT,1
11,29,CET,99
11,30,PYT,3
11,30,CET,97
11,31,CET,100
12,25,PYT,1
12,25,CET,82
12,26,CET,99
12,27,CET,100
12,28,PYT,4
12,28,CET,96
12,29,CET,100
12,30,PYT,1
12,30,CET,99
12,31,CET,100
13,25,PYT,1
13,25,CET,70
13,26,CET,99
13,27,PYT,4
13,27,CET,96
13,28,PYT,1
13,28,CET,99
13,29,PYT,1
13,29,CET,98
13,30,PYT,1
13,30,CET,99
13,31,CET,100
14,25,CET,67
14,26,PYT,2
14,26,CET,98
14,27,PYT,1
14,27,CET,99
14,28,PYT,2
14,28,CET,98
14,29,PYT,1
14,29,CET,98
14,30,PYT,2
14,30,CET,98
14,31,PYT,1
14,31,CET,99
15,25,CET,70
15,26,PYT,4
15,26,CET,96
15,27,CET,100
15,28,PYT,5
15,28,CET,95
15,29,CET,100
15,30,PYT,2
15,30,CET,98
15,31,CET,100
16,25,CET,72
16,26,PYT,1
16,26,CET,99
16,27,PYT,1
16,27,CET,99
16,28,PYT,1
16,28,CET,99
16,29,PYT,1
16,29,CET,99
16,30,PYT,2
16,30,CET,98
16,31,CET,100
17,25,CET,70
17,26,PYT,1
17,26,CET,99
17,27,PYT,1
17,27,CET,99
17,28,PYT,2
17,28,CET,98
17,29,CET,100
17,30,PYT,2
17,30,CET,98
17,31,CET,100
18,25,PYT,2
18,25,CET,62
18,26,CET,100
18,27,PYT,2
18,27,CET,98
18,28,CET,100
18,29,PYT,2
18,29,CET,98
18,30,PYT,1
18,30,CET,99
18,31,PYT,4
18,31,CET,96
19,25,CET,73
19,26,PYT,1
19,26,CET,99
19,27,PYT,1
19,27,CET,99
19,28,PYT,1
19,28,CET,99
19,29,CET,100
19,30,CET,100
19,31,PYT,1
19,31,CET,99
20,25,PYT,1
20,25,CET,71
20,26,PYT,2
20,26,CET,98
20,27,PYT,2
20,27,CET,98
20,28,PYT,1
20,28,CET,99
20,29,PYT,2
20,29,CET,98
20,30,CET,100
20,31,PYT,2
20,31,CET,98
21,25,PYT,1
21,25,CET,64
21,26,PYT,4
21,26,CET,96
21,27,CET,100
21,28,PYT,1
21,28,CET,99
21,29,CET,100
21,30,PYT,1
21,30,CET,99
21,31,CET,100
22,25,CET,74
22,26,PYT,2
22,26,CET,98
22,27,PYT,1
22,27,CET,99
22,28,CET,100
22,29,CET,100
22,30,CET,100
22,31,PYT,2
22,31,CET,98
23,25,CET,70
23,26,PYT,3
23,26,CET,97
23,27,CET,100
23,28,PYT,2
23,28,CET,98
23,29,PYT,1
23,29,CET,99
23,30,CET,100
23,31,PYT,2
23,31,CET,98
24,25,PYT,2
24,25,CET,68
24,26,CET,100
24,27,PYT,1
24,27,CET,99
24,28,PYT,1
24,28,CET,99
24,29,PYT,1
24,29,CET,99
24,30,CET,100
24,31,CET,100
25,25,CET,77
25,26,CET,100
25,27,CET,100
25,28,PYT,1
25,28,CET,99
25,29,PYT,1
25,29,CET,99
25,30,PYT,1
25,30,CET,99
25,31,PYT,1
25,31,CET,99
26,25,PYT,1
26,25,CET,64
26,26,CET,100
26,27,PYT,3
26,27,CET,97
26,28,CET,100
26,29,PYT,4
26,29,CET,96
26,30,PYT,1
26,30,CET,99
26,31,PYT,2
26,31,CET,98
27,25,CET,71
27,26,PYT,1
27,26,CET,99
27,27,CET,100
27,28,PYT,2
27,28,CET,98
27,29,CET,100
27,30,PYT,1
27,30,CET,99
27,31,CET,100
28,25,PYT,3
28,25,CET,74
28,26,AYT,1
28,26,CET,99
28,27,CET,100
28,28,PYT,3
28,28,CET,97
28,29,CET,100
28,30,PYT,1
28,30,CET,99
28,31,PYT,1
28,31,CET,99
29,25,CET,74
29,26,PYT,2
29,26,CET,98
29,27,CET,100
29,28,PYT,2
29,28,CET,98
29,29,PYT,1
29,29,CET,99
29,30,PYT,1
29,30,CET,99
29,31,CET,100
30,25,CET,76
30,26,PYT,2
30,26,CET,98
30,27,CET,100
30,28,PYT,3
30,28,CET,97
30,29,PYT,1
30,29,CET,99
30,30,PYT,3
30,30,CET,97
30,31,CET,100
31,25,CET,73
31,26,PYT,3
31,26,CET,97
31,27,CET,100
31,28,PYT,1
31,28,CET,99
31,29,PYT,2
31,29,CET,98
31,30,CET,100
31,31,PYT,1
31,31,CET,99
32,25,CET,75
32,26,PYT,2
