Replicate,YearProgeny,StageParents,NumberParents
1,25,CET,76
1,26,PYT,2
1,26,CET,98
1,27,CET,100
1,28,CET,100
1,29,CET,100
1,30,CET,100
1,31,PYT,2
1,31,CET,98
2,25,CET,48
2,26,CET,100
2,27,CET,100
2,28,CET,100
2,29,CET,100
2,30,CET,100
2,31,CET,100
3,25,CET,57
3,26,PYT,3
3,26,CET,97
3,27,CET,100
3,28,PYT,6
3,28,CET,94
3,29,PYT,1
3,29,CET,99
3,30,PYT,3
3,30,CET,97
3,31,CET,100
4,25,CET,51
4,26,CET,97
4,27,CET,100
4,28,CET,100
4,29,CET,100
4,30,CET,100
4,31,CET,100
5,25,PYT,3
5,25,CET,71
5,26,PYT,2
5,26,CET,98
5,27,PYT,2
5,27,CET,98
5,28,CET,100
5,29,PYT,2
5,29,CET,98
5,30,PYT,1
5,30,CET,99
5,31,PYT,1
5,31,CET,99
6,25,CET,61
6,26,PYT,3
6,26,CET,97
6,27,PYT,1
6,27,CET,99
6,28,CET,100
6,29,CET,100
6,30,PYT,2
6,30,CET,98
6,31,PYT,1
6,31,CET,99
7,25,CET,53
7,26,PYT,1
7,26,CET,99
7,27,CET,100
7,28,CET,100
7,29,CET,100
7,30,CET,100
7,31,CET,100
8,25,CET,55
8,26,CET,100
8,27,CET,100
8,28,CET,100
8,29,CET,100
8,30,CET,100
8,31,CET,100
9,25,CET,57
9,26,CET,100
9,27,CET,100
9,28,CET,100
9,29,CET,100
9,30,CET,100
9,31,CET,100
10,25,PYT,3
10,25,CET,67
10,26,CET,100
10,27,PYT,7
10,27,CET,93
10,28,PYT,1
10,28,CET,99
10,29,PYT,4
10,29,CET,96
10,30,CET,100
10,31,CET,100
11,25,CET,76
11,26,PYT,4
11,26,CET,96
11,27,PYT,2
11,27,CET,98
11,28,PYT,1
11,28,CET,99
11,29,CET,100
11,30,CET,100
11,31,CET,100
12,25,CET,71
12,26,CET,98
12,27,CET,100
12,28,PYT,1
12,28,CET,99
12,29,CET,100
12,30,CET,100
12,31,CET,100
13,25,CET,69
13,26,PYT,3
13,26,CET,97
13,27,CET,100
13,28,CET,100
13,29,PYT,1
13,29,CET,98
13,30,CET,100
13,31,CET,100
14,25,CET,65
14,26,PYT,1
14,26,CET,99
14,27,CET,100
14,28,CET,100
14,29,PYT,1
14,29,CET,99
14,30,PYT,3
14,30,CET,97
14,31,CET,100
15,25,PYT,3
15,25,CET,72
15,26,CET,100
15,27,PYT,1
15,27,CET,99
15,28,PYT,1
15,28,CET,99
15,29,PYT,1
15,29,CET,99
15,30,PYT,1
15,30,CET,99
15,31,PYT,2
15,31,CET,98
16,25,CET,55
16,26,PYT,1
16,26,CET,99
16,27,CET,100
16,28,PYT,7
16,28,CET,93
16,29,CET,100
16,30,PYT,5
16,30,CET,95
16,31,CET,100
17,25,CET,69
17,26,CET,100
17,27,PYT,1
17,27,CET,98
17,28,CET,100
17,29,CET,100
17,30,CET,100
17,31,PYT,1
17,31,CET,99
18,25,CET,76
18,26,CET,100
18,27,PYT,3
18,27,CET,97
18,28,PYT,1
18,28,CET,99
18,29,CET,100
18,30,CET,100
18,31,CET,100
19,25,CET,68
19,26,CET,100
19,27,PYT,2
19,27,CET,98
19,28,PYT,3
19,28,CET,97
19,29,CET,100
19,30,PYT,2
19,30,CET,98
19,31,CET,100
20,25,PYT,2
20,25,CET,64
20,26,CET,100
20,27,PYT,1
20,27,CET,99
20,28,PYT,1
20,28,CET,99
20,29,PYT,3
20,29,CET,97
20,30,CET,100
20,31,CET,100
21,25,PYT,2
21,25,CET,71
21,26,CET,100
21,27,PYT,3
21,27,CET,97
21,28,PYT,1
21,28,CET,99
21,29,PYT,1
21,29,CET,99
21,30,PYT,1
21,30,CET,99
21,31,CET,100
22,25,PYT,1
22,25,CET,70
22,26,CET,100
22,27,CET,100
22,28,PYT,1
22,28,CET,99
22,29,PYT,1
22,29,CET,99
22,30,CET,100
22,31,PYT,1
22,31,CET,99
23,25,CET,69
23,26,PYT,1
