Replicate,YearProgeny,StageParents,NumberParents
1,20,UYT1,27
1,20,AYT,29
1,20,PYT,1
1,21,AYT,3
1,21,PYT,25
1,21,CET,30
1,22,PYT,28
1,22,CET,38
1,23,PYT,18
1,23,CET,48
1,24,PYT,36
1,24,CET,30
1,25,AYT,1
1,25,PYT,11
1,25,CET,54
1,26,AYT,2
1,26,PYT,64
1,27,AYT,2
1,27,PYT,64
1,28,AYT,1
1,28,PYT,65
1,29,AYT,5
1,29,PYT,61
1,30,AYT,4
1,30,PYT,62
1,31,AYT,1
1,31,PYT,65
2,20,UYT1,24
2,20,AYT,25
2,20,PYT,2
2,21,UYT1,1
2,21,AYT,5
2,21,PYT,26
2,21,CET,27
2,22,NA,1
2,22,AYT,4
2,22,PYT,25
2,22,CET,36
2,23,AYT,3
2,23,PYT,18
2,23,CET,45
2,24,AYT,1
2,24,PYT,32
2,24,CET,33
2,25,AYT,1
2,25,PYT,13
2,25,CET,52
2,26,PYT,30
2,26,CET,36
2,27,PYT,25
2,27,CET,41
2,28,PYT,27
2,28,CET,39
2,29,AYT,2
2,29,PYT,64
2,30,AYT,3
2,30,PYT,63
2,31,AYT,1
2,31,PYT,65
3,20,UYT1,25
3,20,AYT,22
3,21,AYT,3
3,21,PYT,34
3,21,CET,27
3,22,AYT,5
3,22,PYT,24
3,22,CET,35
3,23,AYT,2
3,23,PYT,7
3,23,CET,57
3,24,PYT,44
3,24,CET,22
3,25,AYT,4
3,25,PYT,62
3,26,AYT,1
3,26,PYT,65
3,27,UYT1,1
3,27,AYT,2
3,27,PYT,63
3,28,AYT,12
3,28,PYT,54
3,29,PYT,66
3,30,AYT,4
3,30,PYT,62
3,31,AYT,7
3,31,PYT,59
4,20,UYT1,22
4,20,AYT,24
4,20,PYT,1
4,21,UYT1,1
4,21,AYT,1
4,21,PYT,36
4,21,CET,28
4,22,AYT,9
4,22,PYT,28
4,22,CET,29
4,23,AYT,1
4,23,PYT,8
4,23,CET,57
4,24,AYT,1
4,24,PYT,34
4,24,CET,31
4,25,PYT,6
4,25,CET,60
4,26,PYT,27
4,26,CET,39
4,27,AYT,1
4,27,PYT,34
4,27,CET,31
4,28,PYT,26
4,28,CET,40
4,29,PYT,19
4,29,CET,47
4,30,PYT,41
4,30,CET,25
4,31,AYT,2
4,31,PYT,64
5,20,UYT1,22
5,20,AYT,24
5,21,AYT,4
5,21,PYT,25
5,21,CET,33
5,22,AYT,7
5,22,PYT,34
5,22,CET,23
5,23,UYT1,1
5,23,AYT,2
5,23,PYT,13
5,23,CET,50
5,24,AYT,1
5,24,PYT,33
5,24,CET,32
5,25,AYT,2
5,25,PYT,9
5,25,CET,55
5,26,PYT,66
5,27,AYT,5
5,27,PYT,61
5,28,AYT,2
5,28,PYT,64
5,29,AYT,9
5,29,PYT,57
5,30,AYT,2
5,30,PYT,64
5,31,AYT,2
5,31,PYT,64
6,20,UYT1,25
6,20,AYT,23
6,21,UYT2,1
6,21,AYT,5
6,21,PYT,24
6,21,CET,33
6,22,UYT1,1
6,22,AYT,5
6,22,PYT,32
6,22,CET,28
6,23,AYT,1
6,23,PYT,2
6,23,CET,63
6,24,PYT,38
6,24,CET,28
6,25,PYT,16
6,25,CET,50
6,26,PYT,43
6,26,CET,23
6,27,AYT,4
6,27,PYT,15
6,27,CET,47
6,28,AYT,1
6,28,PYT,18
6,28,CET,47
6,29,AYT,2
6,29,PYT,18
6,29,CET,46
6,30,AYT,2
6,30,PYT,64
6,31,AYT,1
6,31,PYT,65
7,20,UYT1,19
7,20,AYT,21
7,20,PYT,1
7,21,AYT,7
7,21,PYT,27
7,21,CET,24
7,22,AYT,7
7,22,PYT,33
7,22,CET,26
7,23,PYT,9
7,23,CET,57
7,24,PYT,55
7,24,CET,11
7,25,AYT,1
7,25,PYT,5
7,25,CET,60
7,26,PYT,28
7,26,CET,38
7,27,AYT,3
7,27,PYT,63
7,28,PYT,66
7,29,AYT,3
7,29,PYT,63
7,30,UYT1,1
7,30,AYT,13
7,30,PYT,52
7,31,AYT,1
7,31,PYT,65
8,20,UYT1,30
8,20,AYT,21
8,20,PYT,1
8,21,AYT,7
8,21,PYT,23
8,21,CET,31
8,22,UYT1,1
8,22,AYT,3
8,22,PYT,44
8,22,CET,16
8,23,AYT,1
8,23,PYT,5
8,23,CET,60
8,24,PYT,52
8,24,CET,14
8,25,PYT,7
8,25,CET,59
8,26,PYT,24
8,26,CET,42
8,27,AYT,2
8,27,PYT,64
8,28,PYT,66
8,29,AYT,4
8,29,PYT,62
8,30,UYT1,1
8,30,AYT,7
8,30,PYT,58
8,31,PYT,66
9,20,UYT1,28
9,20,AYT,25
9,20,PYT,1
9,21,UYT2,2
9,21,UYT1,1
9,21,AYT,2
9,21,PYT,22
9,21,CET,34
9,22,AYT,5
9,22,PYT,33
9,22,CET,27
9,23,AYT,1
9,23,PYT,9
9,23,CET,56
9,24,AYT,1
9,24,PYT,27
9,24,CET,38
9,25,PYT,9
9,25,CET,57
9,26,AYT,2
9,26,PYT,28
9,26,CET,36
9,27,AYT,3
9,27,PYT,63
9,28,AYT,1
9,28,PYT,33
9,28,CET,32
9,29,AYT,3
9,29,PYT,63
9,30,AYT,10
9,30,PYT,56
9,31,AYT,1
9,31,PYT,65
10,20,UYT1,25
10,20,AYT,23
10,21,AYT,4
10,21,PYT,23
10,21,CET,37
10,22,AYT,6
10,22,PYT,28
10,22,CET,30
10,23,PYT,6
10,23,CET,60
10,24,PYT,29
10,24,CET,37
10,25,AYT,6
10,25,PYT,60
10,26,AYT,1
10,26,PYT,65
10,27,AYT,6
10,27,PYT,60
10,28,AYT,6
10,28,PYT,60
10,29,AYT,7
10,29,PYT,59
10,30,AYT,3
10,30,PYT,63
10,31,AYT,2
10,31,PYT,64
11,20,UYT1,27
11,20,AYT,24
11,20,PYT,2
11,21,AYT,4
11,21,PYT,27
11,21,CET,30
11,22,AYT,2
11,22,PYT,23
11,22,CET,41
11,23,PYT,10
11,23,CET,56
11,24,PYT,52
11,24,CET,14
11,25,AYT,2
11,25,PYT,22
11,25,CET,42
11,26,PYT,41
11,26,CET,25
11,27,AYT,3
11,27,PYT,63
11,28,AYT,2
11,28,PYT,64
11,29,AYT,5
11,29,PYT,61
11,30,AYT,4
11,30,PYT,62
11,31,AYT,5
11,31,PYT,61
12,20,UYT1,27
12,20,AYT,25
12,21,UYT1,2
12,21,AYT,4
12,21,PYT,29
12,21,CET,23
12,22,AYT,2
12,22,PYT,41
12,22,CET,23
12,23,AYT,2
12,23,PYT,6
12,23,CET,58
12,24,AYT,1
12,24,PYT,24
12,24,CET,41
12,25,PYT,2
12,25,CET,64
12,26,PYT,66
12,27,AYT,3
12,27,PYT,63
12,28,AYT,1
12,28,PYT,65
12,29,AYT,7
12,29,PYT,59
12,30,AYT,5
12,30,PYT,61
12,31,AYT,2
12,31,PYT,64
13,20,UYT1,26
13,20,AYT,24
13,20,PYT,1
13,21,AYT,4
13,21,PYT,19
13,21,CET,42
13,22,AYT,4
13,22,PYT,32
13,22,CET,30
13,23,AYT,2
13,23,PYT,10
13,23,CET,54
13,24,PYT,66
13,25,AYT,6
13,25,PYT,60
13,26,UYT1,1
13,26,AYT,1
13,26,PYT,64
13,27,AYT,8
13,27,PYT,58
13,28,AYT,3
13,28,PYT,63
13,29,AYT,2
13,29,PYT,64
13,30,AYT,8
13,30,PYT,58
13,31,AYT,7
13,31,PYT,59
14,20,UYT1,22
14,20,AYT,28
14,21,UYT1,1
14,21,AYT,10
14,21,PYT,28
14,21,CET,21
14,22,AYT,8
14,22,PYT,32
14,22,CET,23
14,23,AYT,1
14,23,PYT,7
14,23,CET,58
14,24,PYT,41
14,24,CET,25
14,25,AYT,1
14,25,PYT,18
14,25,CET,47
14,26,PYT,28
14,26,CET,38
14,27,AYT,2
14,27,PYT,25
14,27,CET,39
14,28,AYT,2
14,28,PYT,64
14,29,AYT,1
14,29,PYT,65
14,30,AYT,1
14,30,PYT,65
14,31,AYT,9
14,31,PYT,57
15,20,UYT1,25
15,20,AYT,25
15,20,PYT,2
15,21,AYT,4
15,21,PYT,15
15,21,CET,42
15,22,UYT1,1
15,22,AYT,12
15,22,PYT,32
15,22,CET,20
15,23,PYT,1
15,23,CET,65
15,24,PYT,45
15,24,CET,21
15,25,PYT,3
15,25,CET,63
15,26,PYT,66
15,27,AYT,3
15,27,PYT,63
15,28,AYT,1
15,28,PYT,65
15,29,AYT,7
15,29,PYT,59
15,30,UYT1,1
15,30,AYT,7
15,30,PYT,58
15,31,AYT,2
15,31,PYT,64
16,20,UYT1,26
16,20,AYT,25
16,20,PYT,1
16,21,UYT1,3
16,21,AYT,13
16,21,PYT,29
16,21,CET,11
16,22,UYT1,1
16,22,AYT,6
16,22,PYT,15
16,22,CET,43
16,23,PYT,22
16,23,CET,44
16,24,AYT,1
16,24,PYT,45
16,24,CET,19
16,25,AYT,1
16,25,PYT,14
16,25,CET,51
16,26,PYT,66
16,27,PYT,2
16,27,CET,64
16,28,AYT,1
16,28,PYT,58
16,28,CET,7
16,29,PYT,1
16,29,CET,65
16,30,AYT,2
16,30,PYT,64
16,31,AYT,5
16,31,PYT,61
17,20,UYT1,28
17,20,AYT,21
17,21,AYT,3
17,21,PYT,28
17,21,CET,34
17,22,PYT,39
17,22,CET,27
17,23,NA,1
17,23,AYT,1
17,23,PYT,2
17,23,CET,62
17,24,PYT,39
17,24,CET,27
17,25,AYT,1
17,25,PYT,5
17,25,CET,60
17,26,PYT,66
17,27,AYT,1
17,27,PYT,19
17,27,CET,46
17,28,UYT1,1
17,28,AYT,4
17,28,PYT,52
17,28,CET,9
17,29,AYT,3
17,29,PYT,8
17,29,CET,55
17,30,PYT,44
17,30,CET,22
17,31,AYT,4
17,31,PYT,62
18,20,UYT1,23
18,20,AYT,26
18,20,PYT,2
18,21,AYT,4
18,21,PYT,25
18,21,CET,33
18,22,AYT,2
18,22,PYT,22
18,22,CET,42
18,23,PYT,26
18,23,CET,40
18,24,AYT,1
18,24,PYT,10
18,24,CET,55
18,25,AYT,2
18,25,PYT,30
18,25,CET,34
18,26,AYT,3
18,26,PYT,63
18,27,AYT,4
18,27,PYT,62
18,28,PYT,66
18,29,AYT,9
18,29,PYT,57
18,30,AYT,1
18,30,PYT,65
18,31,AYT,1
18,31,PYT,65
19,20,UYT1,27
19,20,AYT,27
19,21,AYT,1
19,21,PYT,27
19,21,CET,37
19,22,AYT,7
19,22,PYT,25
19,22,CET,34
19,23,AYT,1
19,23,PYT,2
19,23,CET,63
19,24,PYT,30
19,24,CET,36
19,25,AYT,1
19,25,PYT,15
19,25,CET,50
19,26,PYT,21
19,26,CET,45
19,27,PYT,10
19,27,CET,56
19,28,PYT,30
19,28,CET,36
19,29,AYT,2
19,29,PYT,64
19,30,AYT,1
19,30,PYT,65
19,31,AYT,2
19,31,PYT,64
20,20,UYT1,26
20,20,AYT,25
20,20,PYT,2
20,21,AYT,5
20,21,PYT,18
20,21,CET,39
20,22,UYT1,1
20,22,AYT,4
20,22,PYT,26
20,22,CET,34
20,23,AYT,1
20,23,PYT,10
20,23,CET,55
20,24,PYT,46
20,24,CET,20
20,25,AYT,1
20,25,PYT,11
20,25,CET,54
20,26,PYT,40
20,26,CET,26
20,27,AYT,3
20,27,PYT,63
20,28,AYT,3
20,28,PYT,63
20,29,AYT,1
20,29,PYT,65
20,30,AYT,8
20,30,PYT,58
20,31,AYT,3
20,31,PYT,63
21,20,UYT1,29
21,20,AYT,22
21,20,PYT,2
21,21,AYT,2
21,21,PYT,13
21,21,CET,48
21,22,AYT,7
21,22,PYT,30
21,22,CET,29
21,23,PYT,8
21,23,CET,58
21,24,AYT,1
21,24,PYT,43
21,24,CET,22
21,25,AYT,1
21,25,PYT,4
21,25,CET,61
21,26,PYT,33
21,26,CET,33
21,27,AYT,1
21,27,PYT,5
21,27,CET,60
21,28,PYT,19
21,28,CET,47
21,29,AYT,1
21,29,PYT,18
21,29,CET,47
21,30,AYT,1
21,30,PYT,24
21,30,CET,41
21,31,AYT,2
21,31,PYT,8
21,31,CET,56
22,20,UYT1,23
22,20,AYT,22
22,20,PYT,1
22,21,UYT1,1
22,21,AYT,2
22,21,PYT,21
22,21,CET,41
22,22,AYT,4
22,22,PYT,44
22,22,CET,18
22,23,AYT,1
22,23,PYT,1
22,23,CET,64
22,24,PYT,23
22,24,CET,43
22,25,AYT,5
22,25,PYT,61
22,26,AYT,1
22,26,PYT,65
22,27,AYT,1
22,27,PYT,65
22,28,AYT,9
22,28,PYT,57
22,29,AYT,4
22,29,PYT,62
22,30,AYT,3
22,30,PYT,63
22,31,AYT,3
22,31,PYT,63
23,20,UYT1,24
23,20,AYT,25
23,20,PYT,2
23,21,UYT1,1
23,21,AYT,1
23,21,PYT,31
23,21,CET,24
23,22,AYT,7
23,22,PYT,15
23,22,CET,44
23,23,AYT,1
23,23,PYT,9
23,23,CET,56
23,24,PYT,12
23,24,CET,54
23,25,PYT,14
23,25,CET,52
23,26,AYT,5
23,26,PYT,61
23,27,AYT,3
23,27,PYT,63
23,28,AYT,5
23,28,PYT,61
23,29,AYT,7
23,29,PYT,59
23,30,UYT1,1
23,30,AYT,4
23,30,PYT,61
23,31,AYT,1
23,31,PYT,65
24,20,UYT1,24
24,20,AYT,24
24,20,PYT,1
24,21,UYT1,1
24,21,AYT,8
24,21,PYT,30
24,21,CET,22
24,22,AYT,2
24,22,PYT,30
24,22,CET,34
24,23,AYT,4
24,23,PYT,16
24,23,CET,46
24,24,PYT,23
24,24,CET,43
24,25,AYT,1
24,25,PYT,10
24,25,CET,55
24,26,AYT,1
24,26,PYT,13
24,26,CET,52
24,27,AYT,5
24,27,PYT,61
24,28,AYT,2
24,28,PYT,64
24,29,AYT,1
24,29,PYT,65
24,30,AYT,9
24,30,PYT,57
24,31,AYT,1
24,31,PYT,65
25,20,UYT1,29
25,20,AYT,26
25,20,PYT,1
25,21,UYT1,1
25,21,AYT,4
25,21,PYT,28
